,symbol,entry_dt,entry_price,amt,qty,tp,sl,exit_dt,exit_price,exit_type,profit_loss,fees
129,ATOMUSDT,2020-06-17 00:01:00,2.737,50000,-18268.17683595177,-10.948,16.422,2020-06-17 04:00:00,2.693,barclose,803.7997807818786,27.217025940811105
130,ATOMUSDT,2020-06-17 04:01:00,2.694,50000,18559.762435040833,16.164,-10.776,2020-06-18 00:00:00,2.709,barclose,278.39643652561483,27.075167037861917
131,ATOMUSDT,2020-06-18 00:01:00,2.706,50000,-18477.457501847744,-10.824,16.236,2020-06-18 04:00:00,2.676,barclose,554.3237250554287,27.149667405764966
132,ATOMUSDT,2020-06-18 20:01:00,2.641,50000,18932.222642938283,15.846,-10.564,2020-06-19 00:00:00,2.645,barclose,75.7288905717532,27.020446800454373
133,ATOMUSDT,2020-06-22 00:01:00,2.603,50000,19208.60545524395,15.618000000000002,-10.412,2020-06-22 12:00:00,2.713,barclose,2112.946600076832,27.570495582020744
134,ATOMUSDT,2020-06-22 12:01:00,2.714,50000,-18422.991893883565,-10.856,16.284,2020-06-22 16:00:00,2.702,barclose,221.07590272660298,27.059690493736184
135,ATOMUSDT,2020-06-22 16:01:00,2.706,50000,18477.457501847744,16.236,-10.824,2020-06-23 00:00:00,2.694,barclose,-221.72949002217314,26.94013303769401
136,ATOMUSDT,2020-06-23 12:01:00,2.684,50000,18628.912071535022,16.104,-10.736,2020-06-23 16:00:00,2.822,barclose,2570.7898658718314,27.694113263785397
137,ATOMUSDT,2020-06-23 20:01:00,2.787,50000,17940.43774668102,16.722,-11.148,2020-06-24 00:00:00,2.776,barclose,-197.34481521349338,26.94671689989236
138,ATOMUSDT,2020-06-24 00:01:00,2.777,50000,-18005.041411595244,-11.108,16.662,2020-06-24 04:00:00,2.784,barclose,-126.03528988116082,26.965970471732085
139,ATOMUSDT,2020-06-24 16:01:00,2.662,50000,18782.870022539446,15.972,-10.648,2020-06-25 00:00:00,2.682,barclose,375.6574004507892,27.101427498121712
140,ATOMUSDT,2020-06-26 20:01:00,2.65,50000,-18867.924528301886,-10.6,15.899999999999999,2020-06-27 00:00:00,2.625,barclose,471.6981132075455,27.12735849056604
